number,value,datetime_start,datetime_complete,duration,params_dropout_p,params_hidden_weights0,params_hidden_weights1,params_initializers,params_kernel1,params_kernel2,params_learning_rate,params_momentum,params_n_fc_layers,params_optimizer,params_weight_decays,state
27,2.546979308128357,2024-04-22 09:33:59.991886,2024-04-22 09:34:15.376983,0 days 00:00:15.385097,0.1394013079496537,857.0,,True,4,4,0.004220766042710609,0.9841348429050908,2,SGD,0.0001642865076859537,COMPLETE
28,1.0855100452899933,2024-04-22 09:34:15.377243,2024-04-22 09:34:30.219915,0 days 00:00:14.842672,0.2654830060519202,,,True,3,3,0.0010583783635751461,,1,Adam,0.0003982533750600749,COMPLETE
29,1.5906217694282532,2024-04-22 09:34:30.220184,2024-04-22 09:34:45.488896,0 days 00:00:15.268712,0.0818226922068937,287.0,105.0,True,4,5,0.0007036135145712873,,3,Adam,6.856680795035704e-05,COMPLETE
30,0.9626270830631256,2024-04-22 09:34:45.489166,2024-04-22 09:35:00.757400,0 days 00:00:15.268234,0.3214414182876957,517.0,451.0,True,4,5,0.0020819391424664753,0.8580071216780031,3,SGD,0.00019981576099821935,COMPLETE
31,1.364552080631256,2024-04-22 09:35:00.757687,2024-04-22 09:35:16.041099,0 days 00:00:15.283412,0.34923095486144146,515.0,458.0,True,4,5,0.001762686415644909,0.8451501641064194,3,SGD,0.00019180690995801168,COMPLETE
32,1.2398289442062378,2024-04-22 09:35:16.041365,2024-04-22 09:35:31.355177,0 days 00:00:15.313812,0.30234218407007885,634.0,537.0,True,4,5,0.0067288142423844845,0.8571107915297903,3,SGD,0.000243174307348875,COMPLETE
33,1.3574607968330383,2024-04-22 09:35:31.355477,2024-04-22 09:35:46.536392,0 days 00:00:15.180915,0.24996576644231744,218.0,175.0,True,4,5,0.0022285083894973343,0.8328573290556381,3,SGD,0.0004393289717411342,COMPLETE
34,1.3775523900985718,2024-04-22 09:35:46.536701,2024-04-22 09:36:01.781450,0 days 00:00:15.244749,0.19106246837070767,453.0,281.0,True,4,5,0.0003830296024289919,0.8903910828121082,3,SGD,0.00011254656073200395,COMPLETE
35,1.785882294178009,2024-04-22 09:36:01.781719,2024-04-22 09:36:17.062426,0 days 00:00:15.280707,0.31033034039925644,684.0,580.0,True,4,4,0.00013015015931901267,0.9257819841980123,3,SGD,0.0011403068646886824,COMPLETE
36,2.2057932019233704,2024-04-22 09:36:17.062701,2024-04-22 09:36:32.032693,0 days 00:00:14.969992,0.4148156156046352,,,True,3,5,0.004870962341996643,0.9770335950687407,1,SGD,0.00015842845888851723,COMPLETE
37,0.9276537299156189,2024-04-22 09:36:32.032971,2024-04-22 09:36:47.302846,0 days 00:00:15.269875,0.36132431170771034,555.0,254.0,True,4,4,0.002498724100397286,0.9487433817747232,3,SGD,5.622348253799274e-05,COMPLETE
